Nasco_product_category,Nasco_product_sub_category,Nasco_product_id,Nasco_product_name,Nasco_product_quantity,Nasco_product_price,Nasco_product_url,Nasco_image_url
Agricultural Education,New Agricultural Education Products,X0000NE30486,Rise Gardens Blossom Dry Nutrients,1,$ 10,https://www.nascoeducation.com/rise-gardens-blossom-dry-nutrients-x0000ne30486.html,https://www.nascoeducation.com/media/catalog/product/cache/465f3046c8658da626e76b96d8ed42e5/n/e/ne30486-alt01.jpg
Agricultural Education,New Agricultural Education Products,X0000NE30488,Rise Gardens Sprout Dry Nutrients,1,$ 10,https://www.nascoeducation.com/rise-gardens-sprout-dry-nutrients-x0000ne30488.html,https://www.nascoeducation.com/media/catalog/product/cache/465f3046c8658da626e76b96d8ed42e5/n/e/ne30488-alt01.jpg
Agricultural Education,Agricultural Machinery,C33565,Hand-Powered 2-Stroke Gas Engine Model,1,$ 92.89,https://www.nascoeducation.com/hand-powered-2-stroke-gas-engine-model-c33565.html,https://www.nascoeducation.com/media/catalog/product/cache/465f3046c8658da626e76b96d8ed42e5/c/3/c33565-main_ygtjxgqmsq6hhiiv.jpg
Agricultural Education,Animal Science,X0000SB09759,Nasco Individual Owl Pellets,1,$ 2.55,https://www.nascoeducation.com/nasco-individual-owl-pellets-x0000sb09759.html,https://www.nascoeducation.com/media/catalog/product/cache/465f3046c8658da626e76b96d8ed42e5/s/b/sb09759-main_k1x7dt5njuhtd1vx.jpg
Agricultural Education,Animal Science,C33930,Canine Skin Parasites Model,1,$ 184.99,https://www.nascoeducation.com/canine-skin-parasites-model-c33930.html,https://www.nascoeducation.com/media/catalog/product/cache/465f3046c8658da626e76b96d8ed42e5/c/3/c33930-main_nvsvrhse0ogk29c9.jpg
Agricultural Education,Animal Science,LF01016,Life/form® Canine IV Leg,1,$ 295,https://www.nascoeducation.com/life-form-canine-iv-leg-lf01016.html,https://www.nascoeducation.com/media/catalog/product/cache/465f3046c8658da626e76b96d8ed42e5/l/f/lf01016-main_kaoevh1am1jhrtij.jpg
Agricultural Education,Animal Science,C33929,Canine Four-Stage Knee Model,1,$ 149.99,https://www.nascoeducation.com/canine-four-stage-knee-model-c33929.html,https://www.nascoeducation.com/media/catalog/product/cache/465f3046c8658da626e76b96d8ed42e5/c/3/c33929-main_e0va7jkatssiniqi.jpg
Agricultural Education,Animal Science,C33928,Canine Pelvis/Hip Model,1,$ 149.99,https://www.nascoeducation.com/canine-pelvis-hip-model-c33928.html,https://www.nascoeducation.com/media/catalog/product/cache/465f3046c8658da626e76b96d8ed42e5/c/3/c33928-main_ozo45c1nbruibzsh.jpg
Agricultural Education,Animal Science,C33925,Canine Five-Piece Vertebrae Model,1,$ 99.99,https://www.nascoeducation.com/canine-five-piece-vertebrae-model-c33925.html,https://www.nascoeducation.com/media/catalog/product/cache/465f3046c8658da626e76b96d8ed42e5/c/3/c33925-main_sotjnks82zqll4lb.jpg
Agricultural Education,Animal Science,C33923,Canine Shoulder Model,1,$ 119.99,https://www.nascoeducation.com/canine-shoulder-model-c33923.html,https://www.nascoeducation.com/media/catalog/product/cache/465f3046c8658da626e76b96d8ed42e5/c/3/c33923-main_xhbu6ftnahbgtns3.jpg
